title,platform,skill_tags,summary,source,source_url,date,record_quality
Cloud Healthcare API FHIR R4 compliance update,GCP,"gcp, data, storage, cloud-general, pipeline",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-29,complete
Google Cloud Professional Machine Learning Engineer guide,GCP,"certification, gcp, data, cloud-general, compute",Google Cloud release note or blog post about certification services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-29,complete
Google Cloud Pub/Sub ordering guarantees GA,GCP,"pubsub, gcp, pipeline, data, cloud-general",Google Cloud release note or blog post about pubsub services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-27,complete
GCP Professional Cloud Developer,GCP,"gcp, certification, compute, cloud-general, data",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-06-25,complete
Amazon Timestream for LiveAnalytics launch,AWS,"data, aws, cloud-general, storage, pipeline",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-06-22,complete
Azure Functions Developer,Azure,"azure, serverless, compute, cloud-general, lambda",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-06-20,complete
Google Cloud Composer 2.0 Airflow managed service,GCP,"pipeline, gcp, data, cloud-general, devops",Google Cloud release note or blog post about pipeline services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-19,complete
Cloud Functions 2nd gen generally available,GCP,"serverless, gcp, compute, cloud-general, lambda",Google Cloud release note or blog post about serverless services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-12,complete
AWS Database Administrator,AWS,"aws, rds, data, storage, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-06-06,complete
AWS Application Load Balancer gRPC support,AWS,"aws, networking, compute, cloud-general, architect",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-06-04,complete
Google Cloud Assured Workloads FedRAMP support,GCP,"gcp, security, cloud-general, iam, data",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-06-03,complete
